Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
5/16/2020,East Moline,IL,Worker died from injury suffered after trippijng and falling.,1476079,Federal,No
5/7/2020,Goodlettsville,TN,Worker fatally struck by vehicle.,1474882,State,No
4/24/2020,Salina,UT,Worker died in fall from scaffold.,1473466,State,No
4/23/2020,Saint George,UT,Worker died in fall from roof.,1473500,State,No
4/22/2020,Logan,OH,Worker fatally struck by falling tree.,1473160,Federal,Yes
4/7/2020,Knoxville,TN,Three workers fatally stabbed by customer.,1472512,State,No
4/2/2020,Kuna,ID,Worker died from infection of occupational injury.,1471984,Federal,Yes
4/2/2020,Elyria,OH,Worke died in fall through floor opening.,1471718,Federal,Yes
4/1/2020,Nashville,TN,Worker electrocuted while fixing lights.,1471620,State,Yes
3/27/2020,Massapequa,NY,Worker died in vehicle collision.,1471816,State,No
3/22/2020,Darien,WI,Worker died in fall down stairs.,1471761,Federal,No
3/20/2020,Providence,RI,Worker electrocuted when ladder contacted power line.,1470739,Federal,No
3/18/2020,El Paso,TX,Worker died in fall from ladder.,1470618,Federal,Yes
3/17/2020,Melrose Park,IL,Worker died in fall from ladder.,1471021,Federal,No
3/16/2020,Millersburg,OH,Worker fatally struck by rolling logs.,1470138,Federal,No
3/16/2020,Miami Beach,FL,Worker ftally struck by vehicle.,1470318,Federal,No
3/13/2020,Memphis,TN,Worker died from inhalation of muriatic acid.,1470223,State,Yes
3/12/2020,Teterboro,NJ,Worker suffered fatal injury in fall while loading luggage onto airplane.,1469809,Federal,No
3/12/2020,Spring,TX,Worker died in fall from roof after receiving electric shock.,1469434,Federal,Yes
3/10/2020,Brigham City,UT,Worker died when oxygen cylinder exploded.,1470590,State,No
3/10/2020,Mc Cook,IL,Worker was fatally struck by hydraulic ram.,1468644,Federal,Yes
3/9/2020,Moss,TN,Worker fatally crushed under excavator.,1468412,State,Yes
3/6/2020,Houston,TX,Worker fatally struck by vehicle.,1468016,Federal,No
3/5/2020,Fritch,TX,Worker fatally crushed between excavator bucket and trench wall.,1467923,Federal,No
3/3/2020,Mount Juliet,TN,Worker died in collapse of building struck by tornado.,1467240,State,No
3/2/2020,Dallas,TX,Worker fatally crushed by rolling tractor.,1466714,Federal,Yes
3/1/2020,Social Circle,GA,Worker fatally struck by falling crane load.,1466340,Federal,Yes
2/29/2020,Wisconsin Rapids,WI,Worker died in fall from paper mill building.,1466493,Federal,Yes
2/28/2020,Houston,TX,Worker died after being struck by resident,1472614,Federal,No
2/28/2020,Wilsonville,OR,Worker fatally struck by falling pallet.,1469912,State,No
2/22/2020,Port Neches,TX,Worker died in fall down metal stairway.,1465833,Federal,No
2/22/2020,Whittier,CA,Worker fatally shot during robbery.,1465425,State,No
2/20/2020,Oklahoma City,OK,Worker died when scissor lift tipped over.,1464422,Federal,Yes
2/19/2020,Chattanooga,TN,Worker died from complicatons of surgery for workplace injury.,1466931,State,Yes
2/18/2020,Prentice,WI,Worker fatally struck by snow plow.,1463666,Federal,Yes
2/17/2020,Macon,GA,Worker died in fall from deck.,1429579,Federal,No
2/17/2020,Purcell,OK,Worker fatally struck by truck when brakes failed.,1463683,Federal,No
2/17/2020,Druid,MD,Worker fatally crushed by rolling truck.,1463303,State,No
2/17/2020,Thornville,OH,Worker died in trench collapse.,1463229,Federal,Yes
2/17/2020,Olathe,KS,Worker fatally stuck by trailer.,1463889,Federal,Yes
2/16/2020,Miami,FL,Worker fatally struck be vehicle involved in collision.,1463316,Federal,No
2/14/2020,Hendersonville,NC,Worker fatally struck by refuse truck.,1463812,State,Yes
2/13/2020,Albany,NY,Worker died in fall from scaffolding.,1462959,Federal,Yes
2/13/2020,Fairview,MI,Worker died after becoming caught in conveyor belt.,1462599,State,No
2/13/2020,Sherman,TX,Worker died in fall from roof frame.,1463209,Federal,Yes
2/11/2020,Portland,OR,Worker fatally crushed by falling pieces of marble.,1462417,State,No
2/11/2020,Baytown,TX,Worker died in fall from ladder.,1462531,Federal,No
2/8/2020,Ladonia,TX,Worker died in fall from roof.,1462226,Federal,Yes
2/7/2020,Springfield,MO,Worker fatally struck by vehicle.,1462168,Federal,No
2/6/2020,Oak Brook,IL,Worker fatally struck by debris from falling tree.,1461430,Federal,Yes
2/6/2020,Des Moines,IA,Worker died in fall from scaffold.,1461320,State,Yes
2/6/2020,Willis,TX,Worker fatally crushed by skid steer bucket.,1461284,Federal,Yes
2/5/2020,Orem,UT,Worker died in fall ftom top of wall.,1463347,State,No
2/5/2020,Fort Worth,TX,Worker died in equipment explosion.,1461160,Federal,No
2/4/2020,Colts Neck,NJ,Worker fatally struck by truck.,1460718,Federal,No
2/4/2020,Houston,TX,Worker fatally struck by vehicle.,1460592,Federal,No
2/4/2020,Jack,AL,Worker fatally crushed by peanut picker machine.,1461396,Federal,No
2/4/2020,York,PA,Worke died in fall through floor opening.,1465965,Federal,No
2/4/2020,Indianapolis,IN,Worker died in fall from roof.,1460833,State,Yes
2/3/2020,Tulsa,OK,Worker fatally struck by falling tree.,1461906,Federal,No
1/31/2020,Hanover,PA,Worker suffered fatal injury after tripping and falling.,1462304,Federal,Yes
1/31/2020,Gardner,MA,Worker fatally struck by paper roll.,1459889,Federal,Yes
1/30/2020,Salt Lake City,UT,Worker electrocuted by power conductors.,1459403,State,No
1/30/2020,Rugby,ND,Worker fatally injured in fall on floor.,1462872,Federal,Yes
1/30/2020,Sanford,FL,Worker died in fall from scissor lift.,1460021,Federal,Yes
1/28/2020,Hillsboro,TX,Worker died in vehicle rollover.,1458767,Federal,No
1/27/2020,Indianapolis,IN,Worker fatally shot by customer.,1468579,State,No
1/27/2020,Roseland,VA,Worker fatally struck by falling tree limb.,1458948,State,No
1/27/2020,Alice,TX,Worker fatally crushed between forklift and rack of drill pipe.,1458976,Federal,Yes
1/27/2020,North Vernon,IN,Worker fatally injured by scissor lift when hydraulics failed.,1460838,State,Yes
1/26/2020,Dayton,OH,Worker died from hypothermia.,1460423,Federal,Yes
1/25/2020,Friendly,WV,Worker ftally struck by truck.,1458186,Federal,Yes
1/23/2020,Sisseton,SD,Worker fatally injured in same surface fall.,1460587,Federal,No
1/23/2020,Saginaw,MI,Worker fatally crushed when truck slipped from jack.,1457839,State,No
1/23/2020,Houston,TX,Worker died in fall from aerial lift.,1457567,Federal,Yes
1/23/2020,Richardsville,KY,Worker died in fall from elevated surface.,1458438,State,Yes
1/21/2020,Ixonia,WI,Worker died in fall on ice.,1457832,Federal,No
1/21/2020,Clintonville,WI,Worker died in fall down stairs.,1457578,Federal,Yes
1/21/2020,Dayton,OH,Worker drowned after falling into rinse tank.,1457000,Federal,Yes
1/21/2020,Gainesville,FL,Worker died in fall from roof.,1457252,Federal,Yes
1/20/2020,Lexington,OR,Worker died when logging truck overturned.,1461206,State,No
1/20/2020,Lexington,OR,Worker died in vehicle collision.,1458451,State,No
1/17/2020,Mesa,AZ,Worker died in fall from boom lift.,1456896,State,No
1/17/2020,Hillside,NJ,Worker electrocuted when gutter contacted power line.,1457008,Federal,No
1/16/2020,Binger,OK,Worker died in fall from moving vehicle.,1457354,Federal,Yes
1/16/2020,Prineville,OR,Worker fatally struck by vehicle.,1456661,State,No
1/16/2020,Prineville,OR,Worker fatally struck by vehicle.,1456659,State,No
1/15/2020,Newalla,OK,Worker fatally struck by vehicle.,1456534,Federal,No
1/15/2020,Hackett,AR,Worker electrocuted by arc from power line.,1456538,Federal,Yes
1/15/2020,Ellicott City,MD,Worker died in fall from roof.,1455944,State,Yes
1/14/2020,Elmhurst,IL,Worker died from complication of injury sustained while unloading pallet.,1456435,Federal,No
1/13/2020,Andover,NY,Worker suffocated while hanging from climber belt.,1455666,Federal,No
1/13/2020,North Charleston,SC,Worker died in fall from ship deck.,1455764,Federal,Yes
1/13/2020,Plant City,FL,Worker died in fall through deck.,1455758,Federal,Yes
1/12/2020,North Canton,OH,Worker fatally attacked by client.,1455756,Federal,No
1/11/2020,Houston,TX,Worker inside baler died when the machine was activated.,1455805,Federal,Yes
1/10/2020,Midwest City,OK,Worker fatally burned in fuel pump fire.,1450977,Federal,No
1/10/2020,Tempe,AZ,Worker fatally struck by load that fell from forklift.,1455859,State,No
1/9/2020,Bloomingdale,OH,Worker fatally struck by falling tree.,1454995,Federal,No
1/8/2020,Burr,NE,Worker fatally struck by pressurized tire.,1454896,Federal,Yes
1/8/2020,Dallas,TX,Worker fatally crushed between aerial lift and construction equipment.,1455021,Federal,Yes
1/8/2020,Coopersburg,PA,Worker fatally injured after becoming caught in drive shaft.,1454381,Federal,Yes
1/8/2020,Grant Park,IL,Worker died in fall from ladder inside grain bin.,1454663,Federal,Yes
1/7/2020,Blountstown,FL,Worker died in fall through skylight.,1454425,Federal,Yes
1/6/2020,Guntersville,AL,Worker died when elevator system collapsed.,1454000,Federal,No
1/6/2020,Hollywood,FL,Worker died from inhhalaton of cleaning chemical vapors.,1456412,Federal,Yes
1/4/2020,Watertown,SD,Worker fatally struck by vehicle.,1453895,Federal,Yes
1/2/2020,Doral,FL,Worker fatally crushed between aerial lift and building.,1453504,Federal,Yes
1/2/2020,North Bergen,NJ,Worker fatally crushed by rail car.,1453600,Federal,Yes
1/1/2020,Mcalester,OK,Worker fatally shot during robbery.,1453610,Federal,No
1/1/2020,Broadview,IL,Worker fatally struck by vehicle.,1453802,Federal,No
12/31/2019,Whitsett,NC,Worker died in fall from elevated platform.,1453529,State,Yes
12/31/2019,Oklahoma City,OK,Worker fatally crushed between forklift and winch.,1454288,Federal,Yes
12/31/2019,Bryan,TX,Worker died in fall through skylight.,1453914,Federal,Yes
12/31/2019,Louisville,KY,Worker fatally crushed under tow truck.,1453722,State,Yes
12/30/2019,Austin,TX,Worker fatally struck by falling forklift load.,1453609,Federal,Yes
12/30/2019,Chicago,IL,Worker died in fall from catwalk.,1453316,Federal,Yes
12/29/2019,Dallas,TX,Worker died in fall from roof.,1454588,Federal,No
12/28/2019,Shirley,MA,Worker died in fall from roof.,1463285,Federal,No
12/28/2019,Pasadena,TX,Two workers died from exposure to chemical fumes inside tanker.,1453365,Federal,Yes
12/27/2019,New Orleans,LA,Worker fatally crushed by piece of railcar.,1453254,Federal,No
12/26/2019,Jerome,ID,Worker fatally crushed by feeder truck.,1453259,Federal,Yes
12/26/2019,Wheatland,WY,Worker fatally crushed by vehicle.,1453231,State,No
12/26/2019,Hereford,TX,Worker fatally injured by pressure wash generator.,1453082,Federal,Yes
12/24/2019,Washington,DC,Worer fatally crushed between truck bed and frame.,1452940,Federal,No
12/23/2019,Lemont,IL,Worker fatally crushed by sack of sugar.,1452719,Federal,Yes
12/23/2019,Wilder,KY,Worker died in vehicle collision.,1453950,State,Yes
12/22/2019,South Bend,IN,Worker fatally struck by falling tree.,1452741,State,Yes
12/21/2019,Pelahatchie,MS,Worker fatally crushed between two hydraulic cylinders.,1453192,Federal,No
12/21/2019,New York,NY,Worker fatally struck when car lift fell.,1452615,Federal,Yes
12/20/2019,Joshua Tree,CA,Worker died of injuries inflicted by patient.,1454361,State,No
12/20/2019,Lincoln,NE,Worker fatally crushed by falling wall form.,1452624,Federal,No
12/20/2019,Willow Lake,SD,Worker fatally crushed by skid steer loader.,1452937,Federal,Yes
12/20/2019,Costa Mesa,CA,Worker fatally struck by falling lumber.,1452859,State,No
12/19/2019,Chesapeake,VA,Worker fatally crushed by detached excavator boom.,1452317,State,No
12/19/2019,Hialeah Gardens,FL,Worker fatally struck/crushed by excavator.,1452411,Federal,No
12/19/2019,Berwyn,PA,Worker died in fall from stair.,1452936,Federal,No
12/19/2019,Middletown,NY,Worker died in fall through skylight.,1453352,Federal,No
12/19/2019,Westerly,RI,Worker fatally shot by resident.,1452702,Federal,No
12/18/2019,Elmore City,OK,Worker fatally crushed by atmospheric tank.,1452256,Federal,Yes
12/18/2019,Lansing,MI,Worker died in fall from ladder.,1452923,State,No
12/18/2019,Frisco,TX,Worker died in fall while framing house.,1452436,Federal,No
12/18/2019,West Monroe,LA,Worker fatally injured when forklift overturned.,1452337,Federal,No
12/18/2019,Milledgeville,GA,Worker fatally struck by pickup truck.,1456663,Federal,Yes
12/18/2019,Bloomsbury,NJ,Worker died in fall from roof.,1452064,Federal,Yes
12/18/2019,Elizabeth,NJ,Worker died in fall from racking system.,1451715,Federal,No
12/18/2019,Aurora,CO,Worker died in fall from roof.,1452106,Federal,No
12/17/2019,Houston,TX,Worker fatally crushed by vehicle.,1451899,Federal,No
12/17/2019,Birmingham,AL,Worker died in fall from roof of building.,1452042,Federal,Yes
12/17/2019,Sherman Oaks,CA,Worker fatally crushed under fallen foundation slab.,1453051,State,No
12/17/2019,Grand Rapids,MN,Worker died from injuries sustained in vehicle rollover.,1452230,State,Yes
12/17/2019,Blacksburg,VA,Worker died in fall from roof.,1452252,State,Yes
12/16/2019,Maumee,OH,Worker died of carbon monoxide exposure from indoor generator.,1451517,Federal,Yes
12/16/2019,Denver,CO,Worker died from carbon monoxide exposure in enclosed space.,1463983,Federal,Yes
12/16/2019,Camarillo,CA,Worker died in fall through skylight.,1451616,State,No
12/16/2019,Russellville,KY,Worker fatally injured when vehicle rolled down embankment.,1451942,State,Yes
12/15/2019,Decatur,AL,Worker died from exposure to unknown chemical.,1451478,Federal,No
12/15/2019,Morrow,GA,Worker died in fall through roof.,1451396,Federal,Yes
12/15/2019,Columbia,SC,Cab driver fatally shot by passenger.,1452522,State,Yes
12/13/2019,West Jordan,UT,Worker died in fall from roof.,1451291,State,No
12/12/2019,New Braunfels,TX,Worker died in fall from roof.,1452392,Federal,Yes
12/11/2019,Stoughton,MA,Worker fatally crushed between pickup truck and tree.,1450347,Federal,No
12/11/2019,Saginaw,MI,Worker fatally struck by tractor.,1451885,State,No
